Trait,LS_means_Females,LS_means_Males,Standard_error_Females,Variance_Females,Standard_error_Males,Variance_Males,Diff_MF_LS,Diff_MF_Varr,DeltaBIC Sexual Dimorphism,DeltaBIC Family,DeltaBIC Family:Sex,Female_Family_SS,Female_Family_Variance,Female_Residual_SS,Female_Residual_Variance,Male_Family_SS,Male_Family_Variance,Male_Residual_SS,Male_Residual_Variance,%var among fam female,%var among fam male,Delta Sex chromo
area,0.66,0.645,0.0193,0.00037249,0.0202,0.00040804,0.015,-3.555E-05,-5.320038,-192.6968,-171.2082,1.866,0.043395349,5.855,0.056298077,3.397,0.079,4,0.042105263,0.435287969,0.652325076,-0.217037107
circularity,0.384,0.408,0.0104,0.00010816,0.0109,0.00011881,-0.024,-0.00001065,-2.601627,-158.9684,-181.6823,1.118,0.026,1.544,0.014846154,0.8665,0.020151163,1.4466,0.015227368,0.63653484,0.56958732,0.06694752
days till gametophores,18.9,18.9,0.278,0.077284,0.291,0.084681,0,-0.007397,-5.659482,-191.6726,-190.4877,613.5,14.26744186,1162.7,11.17980769,350.3,8.146511628,1030.4,10.84631579,0.560667346,0.428925691,0.131741654
leaf area,0.513,0.407,0.014,0.000196,0.0146,0.00021316,0.106,-0.00001716,25.22833,-166.9074,-192.6696,1.358,0.031581395,3.085,0.029663462,1.756,0.040837209,2.502,0.026336842,0.515657917,0.607931313,-0.092273396
leaf length,1.91,1.59,0.0375,0.00140625,0.0392,0.00153664,0.32,-0.00013039,33.30671,-165.7282,-198.3368,8.098,0.188325581,18.768,0.180461538,13.71,0.318837209,22.13,0.232947368,0.510662036,0.577829142,-0.067167107
leaf perimeter,6.5,5.39,0.119,0.014161,0.124,0.015376,1.11,-0.001215,40.45051,-174.5526,-187.814,97.26,2.261860465,265.35,2.551442308,117.7,2.737209302,131,1.378947368,0.469918593,0.664991525,-0.195072932
m100.0,-8.88,-10.38,0.194,0.037636,0.202,0.040804,1.5,-0.003168,26.27022,-208.081,-170.2141,244.6,5.688372093,534.9,5.143269231,210.1,4.886046512,455.7,4.796842105,0.525162524,0.504606291,0.020556233
m101.0,-8.29,-9.29,0.241,0.058081,0.252,0.063504,1,-0.005423,3.874063,-210.7095,-189.1754,335.7,7.806976744,750.7,7.218269231,244.1,5.676744186,890.6,9.374736842,0.519590612,0.37715519,0.142435422
m103.1,-10.1,-11.3,0.178,0.031684,0.186,0.034596,1.2,-0.002912,15.80563,-215.6508,-170.0548,226.2,5.260465116,555.2,5.338461538,124.6,2.897674419,276.4,2.909473684,0.496320551,0.498984074,-0.002663523
m105,-10.3,-11.5,0.158,0.024964,0.165,0.027225,1.2,-0.002261,21.90089,-211.6282,-189.4249,149.3,3.472093023,565.4,5.436538462,96.58,2.246046512,141.49,1.489368421,0.389744825,0.601284342,-0.211539517
m106.0,-8.7,-9.73,0.214,0.045796,0.223,0.049729,1.03,-0.003933,7.154118,-216.5182,-191.7052,243.4,5.660465116,604.3,5.810576923,164.8,3.83255814,693.5,7.3,0.493456924,0.34426572,0.149191204
m107.0,-7.98,-9.06,0.192,0.036864,0.201,0.040401,1.08,-0.003537,11.77196,-197.9613,-189.0571,223.1,5.188372093,469.2,4.511538462,210.3,4.890697674,574.3,6.045263158,0.534888653,0.447212435,0.087676218
m108.0,-9.95,-10.28,0.195,0.038025,0.203,0.041209,0.33,-0.003184,-4.014616,-216.4467,-178.8206,279,6.488372093,487.3,4.685576923,108.1,2.513953488,544.4,5.730526316,0.580669563,0.304925665,0.275743898
m109.0,-9.11,-9.61,0.25,0.0625,0.262,0.068644,0.5,-0.006144,-3.395222,-211.7227,-196.2401,318.4,7.404651163,937,9.009615385,253.6,5.897674419,874.6,9.206315789,0.451110693,0.390471282,0.060639411
m111.0,-7.96,-8.58,0.199,0.039601,0.208,0.043264,0.62,-0.003663,-0.1336814,-192.7582,-199.9511,267.5,6.220930233,517,4.971153846,181.6,4.223255814,641.8,6.755789474,0.55583305,0.384665124,0.171167927
m113.0,-8.9,-9.89,0.21,0.0441,0.22,0.0484,0.99,-0.0043,6.753641,-217.2682,-191.2397,256.5,5.965116279,597.9,5.749038462,136.5,3.174418605,656.7,6.912631579,0.509222937,0.314702371,0.194520566
m115.0,-9.1,-9.76,0.222,0.049284,0.231,0.053361,0.66,-0.004077,-0.7009322,-199.6556,-195.7339,308.1,7.165116279,734.7,7.064423077,222.4,5.172093023,681.2,7.170526316,0.503538175,0.419043388,0.084494787
m119.0,-10.2,-11.1,0.173,0.029929,0.18,0.0324,0.9,-0.002471,9.416329,-199.6561,-186.3669,216,5.023255814,515.5,4.956730769,133.9,3.113953488,317,3.336842105,0.503332923,0.482723944,0.020608979
