famid,sampid,Date.PTR,ssex,m30.99,m31.01,m31.99,m32.99,m33.03,m34.02,m37.02,m39.03,m41.03,m42.03,m43.01,m44.06,m45.03,m46.03,m46.06,m47.01,m47.98,m49.02,m49.05,m49.99,m55.03,m57.02,m57.05,m59.04,m61.02,m62.02,m63.02,m69.00,m69.06,m71.03,m73.03,m75.04,m77.05,m79.05,m81.06,m83.05,m85.06,m86.03,m87.04,m89.05,m89.09,m91.00,m93.06,m95.00,m97.00,m98.00,m99.08,m100.0,m101.0,m103.1,m105_F,m106.0,m107.0,m108.0,m109.0,m111.0,m113.0,m115.0,m119.0,m121.1,m124.0,m125.0,m127.0,m129.0,m130.0,m135.1,m137.1,m139.1,m141.0,m143.0,m149.0,m150.0,m151.0,m163.0,m204.0
0,Blank_avg_1,22-May,,5.36,3.67,4125,50.3,6.875,4.895,2685,18.4,2.645,2.865,24.35,10.765,20.4,12.9,0.00055,22.25,4.17,,,,4.905,0.8305,1.26,15.475,16.05,0.8095,1.81,1.225,0.9865,1.0905,2.965,1.4,0.261,0.2995,0.6135,1.144,0.582,,0.6815,0.7355,0.9895,1.37,0.3335,0.583,0.46,,1.0805,,2.21,,,2.345,,0.642,,,0.6725,,,0.422,0.5955,,,0.325,,,,,,,0.288,,,,0.321
0,Blank_avg_2,23-May,,6.39,3.27,3980,51.7,4.01,5.73,2380,16.2,2.86,3.5,24.6,12,22.9,11.2,0.0011,23.5,,,,4.28,4.15,0.915,1.32,8.55,17.2,0.878,2.03,1.22,0.893,1.23,3.31,1.55,,,,0.84,,,1.46,,0.657,,,,,,1.25,,2.63,,,2.88,,,,,,,,,0.676,,,,,,,,,,,,,,0.297
0,Blank_avg_3,24-May,,4.427832423,3.71057377,4413.124874,57.58705728,4.670061324,4.762444849,2183.202793,14.31164036,6.500898907,2.372787897,26.09533495,9.112728193,27.57885044,10.45287189,0.000399383,19.06044323,0.683332524,,,3.440090063,3.661644404,0.733470047,1.676027424,8.019865412,18.482797,0.738235782,1.291374823,2.861667271,2.779658268,1.165224853,5.736156648,4.091582676,0.560508905,0.45113985,,0.364838221,0.5935085,0.36818731,1.636765837,0.76340761,0.761808136,2.116933819,0.865909027,1.109010727,0.481223032,,0.875983101,,1.368350233,,,1.965670917,,0.55078648,0.933396175,0.382477707,0.425237199,0.537628314,,0.343678102,0.367884942,,0.714320836,5.076994738,0.507172344,,,0.129928,,0.285455141,0.847441611,,,,0.457914491
0,Blank_avg_4,24-May,,7.39E+00,5.14E+00,3.89E+03,5.15E+01,5.30E+00,5.18E+00,1.98E+03,1.27E+01,2.99E+00,3.45E+00,2.56E+01,1.33E+01,3.40E+01,1.22E+01,0.00E+00,3.19E+01,,,,4.43E+00,3.67E+00,9.18E-01,1.29E+00,8.70E+00,1.82E+01,8.60E-01,1.74E+00,1.16E+00,7.86E-01,1.25E+00,3.52E+00,1.84E+00,3.46E-01,,3.21E-01,5.81E-01,6.97E-01,,1.38E+00,6.28E-01,6.19E-01,1.75E+00,3.61E-01,8.10E-01,5.77E-01,2.89E-01,1.38E+00,3.66E-01,2.60E+00,,,2.62E+00,5.32E-01,7.53E-01,,2.84E-01,8.50E-01,5.87E-01,,4.62E-01,5.16E-01,,2.83E-01,3.09E-01,6.56E-02,,,,,,2.97E-01,,,,3.10E-01
0,Blank_avg_5,25-May,,4.325587189,4.660711744,4515.124555,54.50391459,4.713825267,5.438647687,2274.199288,14.64355872,5.117224199,2.179928826,24.00925267,10.29839858,19.68505338,13.80690391,0,21.5569395,0.628046263,,,4.037686833,4.762775801,0.557878292,1.035181495,6.321067616,16.19430605,0.717227758,1.464270463,0.905680249,0.700462633,0.856580071,7.259964413,3.473185053,0.412893238,0.311350534,0.355188612,0.560362989,0.505483986,,0.89597153,0.679039146,0.688010676,1.919281139,0.754441281,0.743099644,0.426782918,,1.226476868,0.347519573,1.537907473,0.213954093,,1.710071174,0.51683274,0.520619217,,0.185722064,0.406725979,,0.202801423,0.363263345,0.356060498,,0.165843772,0.328316726,0.072750534,,0.110765836,0.081196085,,0.153303203,0.607430605,0.101390747,,0.168696441,0.385733096
0,Blank_avg_6,25-May,,6.36,5.84,4820,53.4,6.41,4.94,3200,21.8,6.19,3.67,38.4,13,30.1,17.6,0,30.6,0.911,,,,13.1,1.12,1.85,11.8,23.4,1,2,1.49,1.24,1.76,18.3,5.44,0.534,0.447,,0.665,0.785,,1.83,0.749,0.748,2.7,1.4,1.12,0.656,0.329,2.13,0.475,3.05,,,2.47,0.677,0.655,,0.315,0.787,0.703,,0.49,0.666,,,0.742,0.113,,,,,,0.914,0.158,,,0.235
0,Blank_avg_7,26-May,,6.91,6.44,4590,51.9,5.6,4.47,3010,19.2,2.72,3.37,38.2,13.6,27.5,18.3,0,32.8,0.94,,,4.77,5.45,1.08,1.5,18.7,22.9,1.02,1.85,1.37,1.08,1.4,3.84,2.01,0.338,0.371,0.288,0.702,0.82,,1.71,0.719,0.72,1.5,0.434,0.921,0.623,,1.7,0.408,3.16,,0.277,2.4,0.564,0.652,0.825,,0.782,0.699,,0.531,0.631,,,0.598,,0.171,,,,,0.281,0.0713,,0.218,0.214
0,Blank_avg_8,26-May,,4.33,4.07,4270,48.9,9.74,4.06,2990,20.6,2.43,2.23,24.1,9.53,17.9,14.6,0,21,,4.06,,,5.66,0.746,1.2,22.4,14.9,0.741,1.59,1.23,1.08,0.951,2.62,1.25,0.227,0.274,0.387,0.828,0.507,,1.01,0.728,0.729,1.37,0.314,0.583,0.46,,0.911,0.294,1.79,0.214,0.181,1.81,0.523,0.503,0.583,0.213,0.421,0.562,,0.422,0.515,,0.188,0.224,0.0572,0.154,,0.0965,,0.168,0.288,,,0.175,0.345
0,Blank_avg_9,27-May,,4.36,5.55,4440,50.2,8.57,4.28,2840,19.7,3.74,2.6,32.7,10.6,22.3,16.5,0,23.2,0.82,4.09,,,16.1,1.12,1.46,14.4,18.7,0.773,1.62,1.49,1.28,1.8,15.1,2.13,0.333,0.353,0.553,1.06,0.699,0.386,1.45,0.807,0.808,1.47,0.443,0.837,0.586,0.236,1.98,0.35,2.31,,,1.74,0.631,0.504,0.649,0.26,0.54,0.702,0.12,0.536,0.452,0.211,0.243,0.325,0.0725,0.179,0.135,0.127,,0.198,0.371,0.07,0.104,0.175,0.338
0,Blank_avg_10,27-May,,7.19,7.44,4570,49.2,11.3,4.57,3230,22.7,4.78,3.64,59.8,13.8,34.1,19.1,0,34.3,1.05,4.68,,,14.1,1.35,2.01,64.7,,,,1.97,1.67,2.97,14.6,3.8,0.728,0.498,0.518,0.829,1.03,0.481,3.97,1.4,1.4,2,0.878,1.88,0.847,0.325,2.42,0.487,3.9,,0.331,2.35,0.771,0.646,0.901,0.366,0.898,0.867,,0.629,0.673,,0.367,0.711,,0.186,,0.156,0.177,0.282,0.535,0.0943,0.144,0.249,0.218
