famid,sampid,Date.PTR,ssex,m30.99,m31.01,m31.99,m32.99,m33.03,m34.02,m37.02,m39.03,m41.03,m42.03,m43.01,m44.06,m45.03,m46.03,m46.06,m47.01,m47.98,m49.02,m49.05,m49.99,m55.03,m57.02,m57.05,m59.04,m61.02,m62.02,m63.02,m69.00,m69.06,m71.03,m73.03,m75.04,m77.05,m79.05,m81.06,m83.05,m85.06,m86.03,m87.04,m89.05,m89.09,m91.00,m93.06,m95.00,m97.00,m98.00,m99.08,m100.0,m101.0,m103.1,m105_F,m106.0,m107.0,m108.0,m109.0,m111.0,m113.0,m115.0,m119.0,m121.1,m124.0,m125.0,m127.0,m129.0,m130.0,m135.1,m137.1,m139.1,m141.0,m143.0,m149.0,m150.0,m151.0,m163.0,m204.0
1,P_1_2_1,27-May,m,0,0,0,0,1.19E-07,0,0,2.25E-08,1.54E-07,0,4.91E-08,0,5.50E-07,0,0,0,0,0,0,0,6.91E-08,0,2.80E-08,2.67E-06,0,3.85E-09,2.08E-08,0,1.32E-07,6.78E-09,2.61E-07,1.44E-07,7.57E-09,2.14E-09,0,4.30E-08,5.39E-09,0,5.92E-07,2.86E-09,2.89E-09,5.08E-08,4.13E-08,3.94E-09,1.18E-08,6.21E-08,0,0,0,0,0,0,8.69E-09,0,0,2.14E-10,0,0,0,0,0,0,0,1.79E-08,1.33E-09,2.51E-10,0,0,0,0,2.80E-08,3.27E-09,9.09E-10,0,7.53E-10
1,P_1_2_1,25-May,m,0,0,0,0,1.19E-07,0,0,2.25E-08,1.54E-07,0,4.91E-08,0,5.50E-07,0,0,0,0,0,0,0,6.91E-08,0,2.80E-08,2.67E-06,0,3.85E-09,2.08E-08,0,1.32E-07,6.78E-09,2.61E-07,1.44E-07,7.57E-09,2.14E-09,0,4.30E-08,5.39E-09,0,5.92E-07,2.86E-09,2.89E-09,5.08E-08,4.13E-08,3.94E-09,1.18E-08,6.21E-08,0,0,0,0,0,0,8.69E-09,0,0,2.14E-10,0,0,0,0,0,0,0,1.79E-08,1.33E-09,2.51E-10,0,0,0,0,2.80E-08,3.27E-09,9.09E-10,0,7.53E-10
1,P_1_2_10,29-May,f,0,2.10E-08,8.25E-08,1.20E-08,0,0,0,8.74E-08,2.76E-07,1.40E-08,1.88E-07,2.97E-09,1.12E-06,1.83E-08,0,0,2.24E-09,0,0,7.92E-10,1.47E-07,4.47E-09,3.01E-08,2.65E-06,0,4.18E-09,6.50E-08,0,2.35E-07,1.34E-08,7.89E-07,3.82E-07,2.26E-08,2.44E-09,7.19E-10,1.94E-08,4.06E-09,0,1.15E-06,4.69E-09,4.73E-09,1.17E-07,9.09E-08,1.19E-08,9.34E-09,0,0,1.53E-10,4.07E-09,0,3.41E-10,2.38E-09,2.92E-09,0,0,4.55E-10,3.79E-10,1.65E-11,0,0,1.70E-10,0,0,3.37E-09,0,5.34E-10,1.01E-09,0,0,0,4.94E-08,6.79E-09,9.37E-09,7.09E-10,5.61E-10
1,P_1_2_11,25-May,f,3.38E-08,5.25E-08,0,0,0,0,6.56E-06,9.16E-08,1.18E-07,1.01E-08,8.25E-07,3.44E-08,5.03E-07,3.04E-08,0,0,0,0,0,0,3.24E-08,1.33E-09,3.99E-08,1.06E-05,6.98E-08,3.13E-09,4.99E-08,1.85E-09,1.01E-07,1.05E-08,4.69E-07,2.44E-07,2.49E-08,4.75E-09,8.80E-09,2.82E-08,1.05E-08,0,3.56E-07,5.04E-09,5.18E-09,4.80E-08,5.34E-08,2.32E-08,6.13E-09,0,0,0,9.96E-09,1.76E-09,0,8.08E-09,1.65E-09,1.18E-09,0,2.62E-09,9.24E-10,0,4.72E-10,2.94E-09,2.46E-09,0,2.58E-09,3.03E-08,3.77E-09,0,2.57E-09,1.67E-09,0,1.50E-09,4.45E-08,7.54E-09,0,1.92E-09,1.73E-09
1,P_1_2_2,29-May,f,0,0,0,0,0,0,1.53E-06,6.11E-08,1.62E-07,0,0,0,3.81E-08,0,0,0,0,7.45E-10,0,0,0,0,8.88E-07,0,0,0,1.45E-08,0,1.56E-07,0,3.23E-07,3.61E-07,2.26E-08,1.80E-09,1.43E-09,2.02E-08,0,6.73E-10,3.12E-08,1.02E-09,8.81E-10,5.61E-08,7.09E-08,9.80E-09,5.56E-09,0,0,0,0,0,6.28E-10,0,0,0,0,3.62E-10,0,1.80E-09,0,6.41E-12,2.54E-10,0,0,0,0,4.32E-10,6.96E-10,2.78E-10,1.37E-10,0,7.19E-08,1.07E-08,1.38E-08,1.45E-09,2.37E-09
2,P_1_5_1,22-May,f,3.39E-08,1.77E-06,1.03E-06,0,2.90E-06,4.31E-09,3.53E-06,3.70E-07,1.20E-06,9.61E-08,2.03E-06,9.97E-08,2.02E-05,7.12E-07,1.04E-08,1.72E-05,4.42E-07,7.31E-08,7.24E-08,3.88E-08,1.24E-07,5.83E-08,1.32E-07,1.26E-05,9.02E-08,1.61E-08,2.84E-07,0,1.16E-06,1.06E-07,9.45E-07,2.92E-07,1.67E-08,7.25E-09,1.46E-08,8.01E-08,6.04E-08,8.21E-09,3.32E-06,2.63E-08,2.64E-08,1.30E-07,8.89E-08,2.44E-08,3.23E-08,0,7.53E-09,1.84E-09,2.64E-08,1.94E-09,3.24E-10,1.65E-09,8.27E-09,6.01E-10,1.60E-08,6.89E-09,2.57E-09,6.20E-09,0,1.24E-09,1.57E-09,0,1.20E-08,9.47E-08,8.94E-09,1.60E-09,0,5.64E-09,0,2.38E-09,3.50E-08,0,0,1.26E-09,1.39E-09
2,P_1_5_1,26-May,f,3.39E-08,1.77E-06,1.03E-06,0,2.90E-06,4.31E-09,3.53E-06,3.70E-07,1.20E-06,9.61E-08,2.03E-06,9.97E-08,2.02E-05,7.12E-07,1.04E-08,1.72E-05,4.42E-07,7.31E-08,7.24E-08,3.88E-08,1.24E-07,5.83E-08,1.32E-07,1.26E-05,9.02E-08,1.61E-08,2.84E-07,0,1.16E-06,1.06E-07,9.45E-07,2.92E-07,1.67E-08,7.25E-09,1.46E-08,8.01E-08,6.04E-08,8.21E-09,3.32E-06,2.63E-08,2.64E-08,1.30E-07,8.89E-08,2.44E-08,3.23E-08,0,7.53E-09,1.84E-09,2.64E-08,1.94E-09,3.24E-10,1.65E-09,8.27E-09,6.01E-10,1.60E-08,6.89E-09,2.57E-09,6.20E-09,0,1.24E-09,1.57E-09,0,1.20E-08,9.47E-08,8.94E-09,1.60E-09,0,5.64E-09,0,2.38E-09,3.50E-08,0,0,1.26E-09,1.39E-09
2,P_1_5_11,25-May,m,0,0,0,0,0,0,0,2.36E-08,2.30E-07,0,0,0,9.40E-07,0,0,0,0,0,0,0,0,1.89E-09,2.89E-08,1.71E-06,0,5.88E-10,6.66E-09,0,2.27E-07,6.39E-09,0,1.56E-09,9.81E-10,0,0,3.16E-08,3.19E-09,0,1.20E-06,5.19E-09,5.24E-09,0,0,3.49E-10,9.77E-10,0,0,0,0,0,0,0,0,0,0,8.20E-10,0,0,0,0,0,0,0,1.06E-07,1.00E-08,0,0,0,0,0,2.30E-09,4.29E-10,0,0,8.56E-10
2,P_1_5_12,28-May,f,4.22E-08,2.48E-07,4.05E-06,0,2.99E-07,2.25E-10,0,8.92E-07,2.68E-06,2.33E-07,0,6.78E-07,9.09E-05,1.43E-05,6.00E-07,1.38E-06,1.71E-07,3.00E-08,2.90E-08,0,4.25E-07,2.89E-07,4.82E-07,1.11E-05,4.42E-07,1.50E-07,9.29E-06,0,2.03E-06,4.63E-07,7.98E-07,1.36E-07,3.92E-09,3.68E-08,5.89E-08,2.29E-07,3.13E-07,0,4.38E-06,4.03E-08,4.03E-08,6.77E-08,3.54E-08,4.08E-08,4.40E-07,0,5.70E-09,4.91E-09,2.62E-08,0,3.12E-09,2.75E-09,3.65E-09,0,3.13E-08,1.29E-08,6.80E-09,1.14E-08,2.97E-09,1.29E-09,1.43E-09,6.11E-09,0,0,3.86E-08,3.33E-09,3.80E-09,8.37E-09,2.37E-09,5.47E-09,6.52E-08,1.04E-08,1.28E-08,6.63E-09,1.28E-09
2,P_1_5_2,28-May,f,3.08E-08,8.20E-08,0,0,1.90E-07,0,6.76E-06,2.64E-07,5.40E-07,2.78E-08,2.42E-08,4.95E-08,9.38E-06,2.50E-07,0,1.57E-07,1.11E-08,1.69E-09,1.22E-09,0,4.04E-07,4.92E-09,1.11E-07,1.26E-05,8.00E-08,1.54E-08,2.59E-07,0,4.39E-07,1.25E-07,1.11E-06,1.79E-07,4.41E-09,9.55E-09,4.36E-09,5.75E-08,3.12E-08,0,1.26E-06,4.59E-08,4.59E-08,1.33E-07,7.94E-08,1.22E-08,1.31E-08,0,0,1.32E-09,1.97E-08,7.93E-10,2.46E-09,2.78E-09,3.61E-09,4.99E-10,1.30E-08,7.93E-09,1.43E-09,6.99E-09,7.32E-10,1.14E-09,2.90E-09,8.81E-09,2.57E-09,2.45E-08,2.00E-08,1.60E-09,9.49E-10,4.39E-09,1.38E-09,4.03E-09,5.19E-08,8.51E-09,1.14E-08,2.13E-09,1.71E-10
