Sample,Sex,Family,Plate,Initial area (mm^2),Initial perimeter (mm),Initial Circularity,1 week area (mm^2),1 week perimeter (mm),Week_1_Circularity,Week_2_area,Week_2_ perimeter ,Week_2_Circularity,Week_3_area,Week_3_perimeter,Week_3_Circularity,7 days,8 days,9 days,10 days,11 days,12 days,13 days,14 days,15 days,16 days,17 days,18 days,19 days,20 days,21 days,Days_until_gametophores,Total_Gametophores
P_1_2_1,m,1,10A,0.019744133,0.528822224,0.886764508,0.082921737,1.612093899,0.400753537,0.51383155,4.155646734,0.373708661,0.763198497,4.412120804,0.492416227,0,0,0,0, ,0,0,0,0,0,0,0,0,,0,100,0
P_1_2_1,m,1,10B,0.022513016,0.601062756,0.782679017,0.066964461,1.246115558,0.541648293,0.379753326,2.82558687,0.597411939,0.490386524,4.592722136,0.292003343,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,100,0
P_1_2_1,m,1,10C,0.021997244,0.609874218,0.742809351,0.078311455,1.54738683,0.410787427,0.38987423,3.349767942,0.436399983,1.05178225,4.432299724,0.672445722,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,100,0
P_1_2_10,f,1,1C,0.017454827,0.524584651,0.796661853,0.03140783,0.693011368,0.821385154,0.154564345,2.08293536,0.447452946,0.491309485,4.008273357,0.384087456,0,0,0,0,0,1,1,1,3,5,6,6,7,9,11,100,0
P_1_2_10,f,1,1A,0.017323621,0.509921302,0.836800657,0.040945096,0.895002354,0.642012051,0.156641008,1.939395978,0.523072788,0.64593717,4.222708011,0.454985768,0,5,,0,0,1,1,1,2,2,2,2,5,5,8,100,0
P_1_2_10,f,1,1B,0.018337069,0.512611825,0.876480624,0.05286668,1.31176431,0.385886915,0.18896275,2.314253044,0.443143265,0.520319425,3.45436201,0.547676342,0,0,0,0,0,1,1,1,1,3,4,4,4,4,7,100,0
P_1_2_11,m,1,15A,0.016563536,0.484563126,0.886016807,0.047695382,0.979484765,0.624411076,0.359561286,3.098607655,0.470358921,0.910284141,3.996166005,0.715944857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
P_1_2_11,m,1,15B,0.014301376,0.591780453,0.512915968,0.014613554,0.518060133,0.683888236,0.163074591,2.561512074,0.31216422,0.621094129,3.393623461,0.677360327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
P_1_2_11,m,1,15C,0.019490771,0.541265891,0.835597884,0.077026548,1.29178718,0.579759851,0.440094182,3.625344723,0.420568411,0.996648886,4.593327504,0.593303625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
P_1_5_1,f,2,17A,0.017350767,0.530571063,0.774143023,0.027498817,0.704984193,0.694936133,0.171069065,1.934956615,0.573876784,0.503764938,4.262460483,0.348254587,0,0,0,0,0,0,0,0,0,,,0,0,0,0,100,0
P_1_5_1,f,2,17B,0.015717488,0.523104863,0.721431757,0.007614431,0.604224121,0.261957572,0.015681293,0.540929576,0.673116227,0.011220314,0.564606175,0.442082568,0,0,0,0,0,0,0,0,0,,,0,0,0,0,100,0
P_1_5_1,f,2,17C,0.018947852,0.582901729,0.700420652,0.061838406,1.180197753,0.557620022,0.340482228,2.979619291,0.481684346,0.781879414,3.997645793,0.614498456,0,0,0,0,0,0,0,0,0,,,0,0,0,0,100,0
P_1_5_11,m,2,12A,0.023064984,0.586332145,0.84266582,0.063186654,1.214367391,0.538164196,0.362122051,2.993610009,0.507521174,0.736753846,3.63953723,0.698585744,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,100,0
P_1_5_11,m,2,12B,0.018291826,0.521759602,0.84392878,0.055332434,1.030671958,0.654227045,0.359918707,2.794376808,0.578927424,0.52726878,3.481334499,0.546424532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
P_1_5_11,m,2,12C,0.020829969,0.556938185,0.843459591,0.068018627,1.258761014,0.539176475,0.370587054,2.85081052,0.572721091,0.74474832,6.26064438,0.238649814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
P_1_5_12,f,2,9C,0.011971351,0.401425977,0.93308638,0.019463625,0.581018363,0.724158522,0.111072057,1.83897222,0.412519151,0.24997773,3.267774265,0.294026763,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,100,0
P_1_5_12,f,2,9A,0.029643345,0.663684671,0.84526575,0.042596473,0.931795251,0.616200853,0.103561685,2.056097397,0.307681499,0.161825879,3.005851887,0.224958527,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,0
P_1_5_12,f,2,9B,0.027982919,0.651510056,0.828019213,0.045795167,0.90455371,0.702976119,0.106660845,2.20535414,0.275446957,0.180158424,2.17508576,0.478290155,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,100,0
P_1_5_2,f,2,13B,0.03452961,0.797739961,0.681488644,0.071905018,1.490078698,0.406752684,0.310219051,3.423488263,0.332445469,0.715747428,6.15840452,0.237035291,1,1,1,1,1,1,1,1,1,,2,2,4,4,8,7,0
P_1_5_2,f,2,13A,0.028512265,0.638259232,0.879077461,0.061250245,1.563462703,0.314718604,0.262505572,2.375327907,0.584360731,0.56942187,3.581421941,0.557587209,0,0,0,0,0,0,0,0,0,,1,1,1,2,6,100,0
P_1_5_2,f,2,13C,0.027372136,0.692607789,0.716677201,0.054282792,1.186587745,0.484230451,0.233387049,3.096657026,0.305689258,0.626319719,4.655613103,0.362937598,0,0,0,0,0,0,0,0,0,,0,0,2,2,5,100,0
P_1_5_3,f,2,13A,0.031014214,0.762090536,0.670713857,0.041592074,1.298715275,0.309722188,0.165372946,2.442187395,0.348254014,0.452576781,4.74769624,0.252183146,1,2,2,2,3,4,7,7,8,,18,20+,,,,7,18
P_1_5_3,f,2,13B,0.031421403,0.824779714,0.580148623,0.077202997,1.568709222,0.39403872,0.35993228,3.606174749,0.347629721,0.728374806,6.037600054,0.250966569,0,0,0,0,0,0,1,1,1,,12,17,20+,,,13,19
P_1_5_3,f,2,13C,0.020314197,0.629716823,0.643426149,0.036384582,0.818255196,0.682542159,0.194002843,3.086163987,0.255834868,0.569643562,4.171319029,0.41119329,0,0,0,0,0,0,1,3,3,,5,8,12,13,19,100,0
P_1_5_4,m,2,11A,0.011356043,0.405529024,0.867306883,0.05825062,1.029932064,0.689720344,0.386897227,2.893926145,0.580243614,0.897665812,4.111723952,0.666893409,0,0,,,0,0,0,0,0,0,0,0,0,0,0,100,0
P_1_5_4,m,2,11B,0.015441504,0.473868299,0.863702015,0.061689104,1.098204076,0.642439146,0.368546585,2.736396045,0.618193057,0.82997746,4.203336248,0.590021275,0,0,,,0,0,0,0,0,0,0,0,0,0,0,100,0
P_1_5_4,m,2,11C,0.011600357,0.399139033,0.914560787,0.047437495,0.927288626,0.692917494,0.358796676,2.693683998,0.621076014,0.870940654,4.003094101,0.682631939,0,0,,,0,0,0,0,0,0,0,0,0,0,0,100,0
P_1_5_5,m,2,16A,0.025109976,0.691262528,0.660009079,0.055065499,1.13580413,0.536120399,0.273789227,2.475079034,0.561342406,0.720801094,4.073316742,0.545643156,0,0,0,0,0,0,0,0,0,0,0,,,0,0,100,0
P_1_5_5,m,2,16B,0.027050909,0.695163786,0.703067837,0.073293984,1.189614583,0.650497172,0.292845662,2.329858075,0.677593923,0.805152516,4.556467344,0.487092306,0,0,0,0,0,0,0,0,0,0,0,,,0,0,100,0
P_1_5_5,m,2,16C,0.027277125,0.66476088,0.775277772,0.074352675,1.236564203,0.610735127,0.347277757,2.973565615,0.493300499,0.910442492,4.344723212,0.605784183,0,0,0,0,0,0,0,0,0,0,0,,,0,0,100,0
