Sample,Sex,Family,Plate,Week_3_area,Week_3_perimeter,Week_3_Circularity,Days_until_gametophores,Total_Gametophores
P_1_2_1,m,1,10A,0.763198497,4.412120804,0.492416227,100,0
P_1_2_1,m,1,10B,0.490386524,4.592722136,0.292003343,100,0
P_1_2_1,m,1,10C,1.05178225,4.432299724,0.672445722,100,0
P_1_2_10,f,1,1C,0.491309485,4.008273357,0.384087456,100,0
P_1_2_10,f,1,1A,0.64593717,4.222708011,0.454985768,100,0
P_1_2_10,f,1,1B,0.520319425,3.45436201,0.547676342,100,0
P_1_2_11,m,1,15A,0.910284141,3.996166005,0.715944857,100,0
P_1_2_11,m,1,15B,0.621094129,3.393623461,0.677360327,100,0
P_1_2_11,m,1,15C,0.996648886,4.593327504,0.593303625,100,0
P_1_5_1,f,2,17A,0.503764938,4.262460483,0.348254587,100,0
P_1_5_1,f,2,17B,0.011220314,0.564606175,0.442082568,100,0
P_1_5_1,f,2,17C,0.781879414,3.997645793,0.614498456,100,0
P_1_5_11,m,2,12A,0.736753846,3.63953723,0.698585744,100,0
P_1_5_11,m,2,12B,0.52726878,3.481334499,0.546424532,100,0
P_1_5_11,m,2,12C,0.74474832,6.26064438,0.238649814,100,0
P_1_5_12,f,2,9C,0.24997773,3.267774265,0.294026763,100,0
P_1_5_12,f,2,9A,0.161825879,3.005851887,0.224958527,100,0
P_1_5_12,f,2,9B,0.180158424,2.17508576,0.478290155,100,0
P_1_5_2,f,2,13B,0.715747428,6.15840452,0.237035291,7,0
P_1_5_2,f,2,13A,0.56942187,3.581421941,0.557587209,100,0
P_1_5_2,f,2,13C,0.626319719,4.655613103,0.362937598,100,0
P_1_5_3,f,2,13A,0.452576781,4.74769624,0.252183146,7,18
P_1_5_3,f,2,13B,0.728374806,6.037600054,0.250966569,13,19
P_1_5_3,f,2,13C,0.569643562,4.171319029,0.41119329,100,0
P_1_5_4,m,2,11A,0.897665812,4.111723952,0.666893409,100,0
P_1_5_4,m,2,11B,0.82997746,4.203336248,0.590021275,100,0
P_1_5_4,m,2,11C,0.870940654,4.003094101,0.682631939,100,0
P_1_5_5,m,2,16A,0.720801094,4.073316742,0.545643156,100,0
P_1_5_5,m,2,16B,0.805152516,4.556467344,0.487092306,100,0
P_1_5_5,m,2,16C,0.910442492,4.344723212,0.605784183,100,0
P_1_5_6,f,2,3B,0.852725742,5.817178987,0.316500324,100,0
P_1_5_6,f,2,3C,0.914935142,8.105872066,0.174896234,100,0
P_1_5_6,f,2,3A,0.979316216,7.423690052,0.22318907,100,0
P_1_5_9,m,2,15C,0.678928512,3.944844286,0.547966435,7,0
P_1_5_9,m,2,15B,0.470669537,3.000672631,0.656551043,100,0
P_1_5_9,m,2,15A,0.425824477,2.792964283,0.685629502,100,0
P_1_6_13,m,3,18B,0.97948814,7.318490617,0.229691953,13,18
P_1_6_13,m,3,18C,0.88380782,6.874756171,0.234872884,100,0
P_1_6_13,m,3,18A,0.737305813,5.620636309,0.293134091,100,0
P_1_6_14,m,3,13A,0.370320119,3.718436806,0.336392369,100,0
P_1_6_14,m,3,13C,0.337686198,4.616331472,0.199025617,100,0
P_1_6_14,m,3,13B,0.394991236,4.003699469,0.309495371,100,0
P_1_6_15,f,3,2B,1.026106734,5.873949015,0.373526856,100,0
P_1_6_15,f,3,2C,0.541457048,6.656487523,0.153484105,100,0
P_1_6_15,f,3,2A,0.701446053,6.77951167,0.191684541,100,0
P_1_6_2,f,3,19A,0.367329543,4.529494854,0.224877475,100,0
P_1_6_2,f,3,19B,0.211371707,4.590300666,0.125995266,100,0
P_1_6_2,f,3,19C,0.081415139,1.627160826,0.386219189,100,0
P_1_6_3,f,3,10A,0.393041254,3.585861304,0.383920056,100,0
P_1_6_3,f,3,10B,0.023969848,0.93307325,0.345798761,100,0
P_1_6_3,f,3,10C,0.088445932,1.656487523,0.404847224,100,0
P_1_6_5,f,3,3C,0.915342331,7.108428062,0.227523385,100,0
P_1_6_5,f,3,3B,0.638571577,5.028250488,0.317223546,100,0
P_1_6_5,f,3,3A,1.224796772,8.031210063,0.238501822,100,0
P_1_6_7,f,3,12B,0.5946721,4.893522567,0.311906203,100,0
P_1_6_7,f,3,12C,0.509750613,4.101903545,0.380519142,100,0
P_1_6_7,f,3,12A,0.437090034,4.561377548,0.263856928,100,0
P_11_16_12,f,4,5B,0.97928907,6.353400148,0.304710998,100,0
P_11_16_12,f,4,5C,1.00929436,7.395305038,0.231790323,100,0
P_11_16_12,f,4,5A,0.890951721,5.581152889,0.359249334,100,0
P_11_16_14,m,4,9A,0.641756699,6.447030336,0.193928046,100,0
P_11_16_14,m,4,9B,0.556156564,4.997242214,0.279721537,100,0
P_11_16_14,m,4,9C,0.566046727,5.623932199,0.224782124,100,0
P_11_16_15,m,4,15A,1.070766297,4.568372906,0.644408467,100,0
P_11_16_15,m,4,15B,0.943791255,4.282504877,0.64635313,100,0
P_11_16_15,m,4,15C,0.752643258,5.413533329,0.322564958,100,0
P_11_16_18,f,4,7C,1.002313335,4.845900316,0.53609801,100,0
P_11_16_18,f,4,7B,0.876668443,5.017353871,0.437396746,100,0
P_11_16_18,f,4,7A,0.626586654,3.770700209,0.553511654,100,0
P_11_16_20,m,4,11A,0.835895271,5.72751732,0.32004326,100,0
P_11_16_20,m,4,11B,0.739364379,5.78280756,0.277696677,100,0
P_11_16_20,m,4,11C,0.63020611,4.944978812,0.323700506,100,0
P_11_16_5,f,4,3B,0.810360009,7.142799489,0.199494406,7,0
P_11_16_5,f,4,3C,0.757009227,4.089056299,0.568649462,100,0
P_11_16_5,f,4,3A,1.00117773,7.71762965,0.211121738,100,0
P_11_16_7,f,4,12A,0.558531832,7.761619695,0.116448219,100,0
P_11_16_7,f,4,12B,0.679367371,4.319163247,0.457398869,100,0
P_11_16_7,f,4,12C,0.396036354,2.985336652,0.55813347,100,0
P_14_11_14,m,5,9C,0.333989829,3.37384812,0.368529132,7,0
P_14_11_14,m,5,9B,0.628301371,3.52895675,0.633672668,100,0
P_14_11_14,m,5,9A,0.646679159,3.807493106,0.560273721,100,0
P_14_11_15,m,5,13A,0.992961565,4.544023677,0.604005519,100,0
P_14_11_15,m,5,13B,0.793497868,4.940001345,0.408395802,100,0
P_14_11_15,m,5,13C,0.989527606,5.272280891,0.447116271,100,0
P_14_11_16,m,5,6A,0.834922542,6.114010897,0.280532647,16,21
P_14_11_16,m,5,6B,0.817811564,6.191767001,0.267925269,100,0
P_14_11_16,m,5,6C,0.87546045,5.108091747,0.421413838,100,0
P_14_11_4,f,5,5C,0.542800771,3.516513083,0.551322378,100,0
P_14_11_4,f,5,5A,0.45813717,2.926010628,0.672099187,100,0
P_14_11_4,f,5,5B,0.503181301,3.463442524,0.526863561,100,0
P_14_11_5,m,5,28A,0.615655896,4.316069146,0.415098243,100,0
P_14_11_5,m,5,28B,0.534394584,3.984933073,0.422677981,100,0
P_14_11_5,m,5,28C,0.544877434,3.928095783,0.443531351,100,0
P_14_11_6,f,5,2A,0.611959527,4.059191498,0.466480248,100,0
P_14_11_6,f,5,2B,0.614411708,4.711239658,0.347679215,100,0
P_14_11_6,f,5,2C,0.458309095,3.175892917,0.570711223,100,0
P_14_11_7,f,5,8C,0.360126826,2.739826461,0.6025582,7,0
P_14_11_7,f,5,8B,0.487205927,3.437008139,0.518013503,100,0
P_14_11_7,f,5,8A,0.29069661,2.578865945,0.548999657,100,0
P_14_11_8,f,5,7A,0.786865215,3.905293603,0.64801134,100,0
P_14_11_8,f,5,7C,0.721334964,3.850675994,0.61101612,100,0
P_14_11_8,f,5,7B,0.242969558,5.516983924,0.100262393,100,0
P_14_13_10,f,6,19A,0.787421706,4.872738279,0.416534378,100,0
P_14_13_10,f,6,19B,0.392127341,4.602542544,0.232499028,100,0
P_14_13_10,f,6,19C,0.506425238,6.629515033,0.144724301,100,0
P_14_13_12,f,6,9A,0.421277535,3.989843277,0.332388712,100,0
P_14_13_12,f,6,9B,0.434176372,3.191632475,0.535340467,100,0
P_14_13_12,f,6,9C,0.288565656,3.355687092,0.321863231,100,0
P_14_13_13,m,6,20C,0.360402809,2.674581287,0.632799611,100,0
P_14_13_13,m,6,20B,0.598947583,3.182350172,0.74281818,100,0
P_14_13_13,m,6,20A,0.516718066,5.371762965,0.224910434,100,0
P_14_13_14,m,6,5A,0.927643957,4.374924329,0.608737236,100,0
P_14_13_14,m,6,5B,0.738043278,4.075065581,0.558215978,100,0
P_14_13_14,m,6,5C,0.811255824,4.355081725,0.537223311,100,0
P_14_13_2,f,6,1B,0.502968658,3.16587072,0.630295505,7,0
P_14_13_2,f,6,1C,0.377572604,3.035447636,0.514688688,100,0
P_14_13_2,f,6,1A,0.472700957,2.968520885,0.673745539,100,0
P_14_13_4,m,6,28B,0.759135657,4.479451133,0.475181391,100,0
P_14_13_4,m,6,28C,0.660053049,4.515033295,0.406674149,100,0
P_14_13_4,m,6,28A,0.494073844,5.54476357,0.201843811,100,0
P_14_13_5,m,6,16A,0.63349529,4.727450057,0.356023882,100,0
P_14_13_5,m,6,16B,0.547940399,5.950830699,0.194342494,100,0
P_14_13_5,m,6,16C,0.44340146,4.46599852,0.279221984,100,0
P_14_13_6,f,6,3B,0.786028216,4.579000471,0.470854146,7,0
P_14_13_6,f,6,3C,0.458829391,3.943431762,0.370588731,100,0
P_14_13_6,f,6,3A,1.000702677,7.571601534,0.2192397,100,0
P_14_13_7,f,6,27C,0.610882739,4.425438892,0.391773266,12,21
P_14_13_7,f,6,27A,0.34655839,4.093495662,0.259763058,100,0
P_14_13_7,f,6,27B,0.669698899,5.420663214,0.286262443,100,0
P_14_16_13,m,7,2B,0.818956217,6.89096657,0.216615753,100,0
P_14_16_13,m,7,2A,0.685561165,7.512813614,0.152556466,100,0
P_14_16_13,m,7,2C,0.572742721,8.594874554,0.097380081,100,0
P_14_16_14,f,7,18A,1.047778227,6.90018161,0.276399954,100,0
P_14_16_14,f,7,18B,1.113905688,6.605569382,0.320639885,100,0
P_14_16_14,f,7,18C,0.872605604,5.658169099,0.342338538,100,0
P_14_16_15,m,7,27A,0.841763314,7.151005583,0.206749944,100,0
P_14_16_15,m,7,27B,0.589378646,4.661397727,0.340683983,100,0
P_14_16_15,m,7,27C,0,0,#DIV/0!,100,0
P_14_16_16,m,7,6A,0.910686805,5.021591444,0.453603015,100,0
P_14_16_16,m,7,6B,0.743332208,4.240129145,0.519295335,100,0
P_14_16_16,m,7,6C,0.779305076,3.98486581,0.616410094,100,0
P_14_16_3,m,7,26A,0.55831014,4.723145221,0.314342105,7,0
