Fam #,Sample Name,Cholor.,Date PTR,Sample_Sex,%_Exp,Avg_Male_Buds/Stem,Total _Buds,Avg_Arch,Avg_Area _Week_3,Avg_Perimeter_ Week 3,Avg_Circularity_Week 3,Avg_Perimeter_Rate,Avg_Area_Rate,Avg_21_days,Avg_Days_til_Gam,Leaf_Length_Average,Leaf_Average_Area,Leaf_perimeter_average,m29.9975_FLUX,m30.99783_FLUX,m31.01783_FLUX,m31.9908_FLUX2,m32.99853_FLUX,m33.03230_FLUX,m33.98721_FLUX,m34.02317_FLUX,m37.0289_FLUX,m39.0326 (cluster (H2O)H3O+_(18O)) (Conc),m41.0375_FLUX,m42.0343 (acetonitrile H+) (Conc),m42.95810 (m43_1) (Conc),m43.01734_FLUX,m44.0626_FLUX,m45.0335_FLUX,m45.99328_FLUX,m46.03111_FLUX,m46.06609_FLUX,m47.0128_FLUX,m47.9847_FLUX,m49.0239_FLUX,m49.05240_FLUX,m49.9923 (chloromethane) (Conc),m55.0390 (cluster (H2O)2-H3O+) (Conc),m57.02382_FLUX,m57.05991 (cluster (H2O)2-H3O+_(18O)) (Conc),m59.0439_FLUX,m61.0290_FLUX,m62.0294_FLUX,m63.023_FLUX,m69.00377_FLUX,m69.06994_FLUX,m71.0354_FLUX,m73.0376 (butyraldehyde H+) (Conc),m75.0446_FLUX,m77.0597_FLUX,m79.05478_FLUX,m81.0699_FLUX,m83.0585_FLUX,m85.0648_FLUX,m86.0362_FLUX,m87.0441_FLUX,m89.05810 (butyric acid H+) (Conc),m89.09610_FLUX,m90.00000_FLUX,m91.00000_FLUX,m92.00000 (nominal 92) (Conc),m93.0699_FLUX,M94_FLUX,m95.00000-FLUX,m97.00000_FLUX,m98.00000 (nominal 98) (Conc),m99.080 (cyclohexanone H+) (Conc),m100.00000_FLUX,m101.00000_flux,m103.1117_FLUX,m104_FLUX,m105_FLUK,m106.00000_FLUX,m107.0855_FLUX,m108.0000_FLUX,m109.00000 (nominal 109) (Conc),m110.00000_FLUX,m111.00000_FLUX,m113.00000_FLUX,m114.00000_FLUX,m115.00000_FLUX,m119.00000_FLUX,m121.1012_FLUX,m124.00000_FLUX,m125.00000_FLUX,M126_FLUX,m127.00000_FLUX,m128.00000_FLUX,m129.00000_FLUX,m130.00000_FLUX,m135.1168_FLUX,m137.1325 (terpenes H+) (Conc),m138.00000 (nominal 138) (Conc),m139.1481 (menthol dehydrated) (Conc),m141.00000_FLUX,m143.00000_FLUX,m148.00000_FLUX,m149.00000_FLUX,m150.00000_FLUX,m151.00000_FLUX,m153,m163.00000_FLUX,m204.00000_FLUX,,,,,,,,,,,,,,,,,,,,,,
28,P_22_1_3,0.698,30-May,m,100,1.8,18,,0.855447874,4.169839241,0.622380103,1.539200915,0.914484419,5.33,46,1.801372581,0.329442148,5.255697689,-0.0008907,1.31341E-05,1.26812E-05,-0.002000302,8.68056E-06,1.55873E-05,-3.77415E-06,-8.30314E-07,-0.007974789,0.000141153,0.000456559,1.33605E-05,0,0.000589523,1.98143E-05,0.001300951,-2.16259E-05,-1.33982E-05,0,-8.68056E-05,0,0,0,-7.88798E-06,7.75966E-05,-5.86504E-06,8.48053E-05,0.005434028,0.000122283,5.61972E-06,8.82775E-05,-5.81522E-06,0.000188217,4.23838E-05,0.000285326,8.29559E-05,2.57775E-06,2.00068E-05,3.02687E-06,6.58213E-05,1.22018E-05,0,0.000361262,9.58635E-06,9.7109E-06,0,1.80556E-05,0,1.00015E-05,0,2.4381E-05,5.31024E-06,0,-1.65723E-05,1.04167E-06,1.73611E-06,0,0,0,4.15157E-08,2.04559E-06,0,2.18825E-05,1.0111E-05,0,7.13315E-07,0,7.05389E-06,0,-3.17029E-07,0,3.88361E-06,0,0,4.75204E-07,0.000197652,1.86405E-05,1.58137E-06,7.82382E-07,0,2.99743E-06,0,2.86081E-06,0,3.84586E-05,7.3445E-06,9.51087E-06,0,3.14387E-06,1.56627E-06,,,,,,,,,,,,,,,,,,,,,,
45,P_9_3_10,0.695,30-May,m,100,1,10,,0.03265805,1.304836214,0.253696269,1.088565279,0.269929793,0,100,1.04538206,0.197453469,3.58443349,-0.000708223,3.00375E-06,7.1649E-07,-0.001791226,-1.26764E-05,7.82628E-06,-5.26345E-05,-4.05919E-06,-0.001270392,0.000128693,0.000328125,9.6175E-06,0,0.000340608,7.71605E-06,0.00092565,-1.11607E-05,-4.1336E-06,0,-4.98787E-05,0,0,0,-2.31481E-06,0.000109237,-2.51323E-06,6.47321E-05,0.003041226,4.73986E-05,7.86761E-06,0.000325342,4.91071E-07,0.000195492,2.95139E-05,0.000269511,0.000110064,4.1832E-06,5.90278E-06,4.23005E-06,4.78395E-05,7.62787E-06,0,0.000493441,9.0884E-06,9.17383E-06,0,2.32308E-05,0,2.48567E-05,0,5.75948E-06,1.59088E-05,0,-7.931E-06,5.45635E-07,5.64925E-06,0,0,0,6.50353E-07,6.95822E-06,0,1.41314E-05,6.39605E-06,0,7.08223E-07,0,5.54453E-06,0,2.89352E-07,0,3.68717E-06,0,0,2.76124E-07,0.000119406,1.0695E-05,9.64506E-07,7.74912E-07,0,3.45569E-06,0,2.18254E-06,0,2.86872E-05,5.77326E-06,7.02987E-06,0,3.12224E-06,4.1336E-07,,,,,,,,,,,,,,,,,,,,,,
33,P_24_5_6,0.679,30-May,m,100,2.2,22,,0.361309181,2.789758077,0.495392906,0.922712495,1.367396012,4,13,0.749459616,0.136656122,3.569276968,-0.000702247,2.62692E-06,9.46733E-06,-0.001794632,1.84665E-05,-1.05597E-05,-2.57491E-05,5.1238E-06,-0.005061382,5.64399E-05,0.000232834,5.53995E-06,0,0.000451259,1.25364E-05,0.001538702,-1.35768E-05,1.30046E-07,0,-5.04578E-05,0,0,0,-4.81169E-06,3.45141E-05,-4.33573E-06,4.70246E-05,0.002890918,0.000125624,6.87682E-06,0.000234473,9.51415E-07,0.000126743,3.44361E-05,0.000239024,0.000107522,7.24095E-06,1.19642E-05,1.55015E-06,3.57808E-05,8.27871E-06,0,0.000206981,1.28485E-05,1.28251E-05,0,1.52154E-05,0,1.4201E-05,0,1.67239E-05,9.01217E-06,0,-9.99012E-06,6.2422E-07,4.62963E-06,0,0,0,3.35518E-07,-4.52559E-07,0,1.67239E-05,6.87422E-06,0,1.23804E-06,0,4.51519E-06,0,-1.45651E-07,0,4.04702E-06,0,0,6.16417E-07,0.000176446,1.57199E-05,6.08614E-07,1.60476E-07,0,2.71275E-06,0,3.15491E-06,0,2.98585E-05,5.46452E-06,7.65449E-06,0,2.2758E-06,6.21619E-07,,,,,,,,,,,,,,,,,,,,,,
32,P_22_6_2,0.687,30-May,m,100,1.6,16,,0.975060339,5.156924733,0.465087342,1.73980404,0.92082329,3.67,42.33,0.881005915,0.189477093,3.588064101,-0.000684002,1.58991E-05,2.9057E-05,-0.001775272,-3.44612E-05,4.60787E-05,-6.13513E-05,2.34962E-06,-0.001224415,0.000184054,0.000481151,2.46972E-05,0,0.002377297,7.52924E-05,0.029696637,-0.000181443,0.001474259,1.03778E-05,0.00010495,0,0,0,-2.01023E-06,8.57352E-05,1.41421E-05,0.000110485,0.006014515,0.000129751,3.05712E-05,0.001753237,-9.65957E-08,0.000279135,5.3232E-05,0.000293703,9.90497E-05,3.8325E-06,1.04114E-05,7.50313E-06,8.04877E-05,2.47233E-05,0,0.000294382,1.33981E-05,1.33276E-05,0,2.61069E-05,0,2.099E-05,0,1.38889E-05,1.28394E-05,0,-5.68609E-06,7.75376E-07,8.51086E-06,0,0,0,4.82978E-07,5.224E-06,0,5.01514E-05,1.63429E-05,0,2.61853E-06,0,4.71752E-06,0,3.68108E-07,0,6.30221E-06,0,0,7.41959E-07,0.000276968,2.51619E-05,6.7878E-07,1.00512E-06,0,3.97348E-06,0,4.23977E-06,0,1.80007E-05,3.15633E-06,4.96815E-06,0,3.1485E-06,1.04428E-06,,,,,,,,,,,,,,,,,,,,,,
23,P_2_6_2,0.704,30-May,m,100,2.3,23,,0.731593105,4.270688998,0.516951027,1.174462456,1.083622249,2.33,14.67,#DIV/0!,0.170817678,3.969429299,-0.000655576,-7.51451E-07,-1.32152E-06,-0.001710199,6.73715E-06,-1.71797E-05,-6.73715E-06,-3.96455E-06,-0.004669362,2.28545E-05,0.000128654,-2.07297E-06,0,0.000200301,-1.78794E-06,0.000409411,-5.36381E-06,-1.70502E-05,0,-6.08934E-05,0,0,0,-2.64303E-06,7.20616E-05,-7.35904E-06,3.14573E-05,0.001260106,6.47803E-05,2.93584E-06,3.78576E-05,-2.32095E-06,6.31478E-05,1.81903E-05,0.00015625,0.000100565,5.31198E-06,8.65983E-06,2.92807E-07,3.59816E-05,4.34028E-06,0,9.48124E-05,7.75549E-06,7.85914E-06,0,1.64283E-05,0,1.52104E-05,0,1.05981E-05,4.95439E-06,0,-1.16397E-05,1.42517E-07,-2.92807E-07,0,0,0,-3.31675E-07,-3.8609E-07,0,7.64925E-06,4.03451E-06,0,2.28027E-07,0,2.73632E-06,0,3.65361E-07,0,2.11702E-06,0,0,3.04726E-07,0.000113495,1.05825E-05,6.97036E-07,3.62251E-07,0,2.17662E-06,0,2.40464E-06,0,2.12479E-05,4.0993E-06,6.50135E-06,0,2.82183E-06,7.30203E-07,,,,,,,,,,,,,,,,,,,,,,
26,P_21_15_22,0.715,30-May,m,100,0.6,6,,0.471176261,3.516087083,0.478528813,1.824351472,0.743635544,4,43.33,1.370408735,0.274641985,4.583958911,-0.000610192,3.40584E-05,3.97774E-05,-0.001506332,-3.57435E-05,4.58793E-05,-5.94873E-05,-2.68076E-06,0.001327614,0.000122038,0.000302109,9.34436E-06,0,0.000862949,3.36244E-05,0.002013889,-1.26123E-05,3.8654E-05,0,-2.45098E-05,0,0,0,-1.76164E-06,0.000124974,1.25357E-06,6.08405E-05,0.008741319,0.00013557,9.56648E-06,0.000139757,-2.25694E-06,0.000180556,3.82966E-05,0.000496579,0.00015888,9.03544E-06,9.03799E-06,2.99479E-06,6.48999E-05,1.26098E-05,0,0.000444904,1.45987E-05,1.46063E-05,0,3.56158E-05,0,4.3173E-05,0,1.731E-05,8.78013E-06,0,-5.41513E-06,1.17698E-06,1.62122E-05,0,0,0,1.06975E-06,2.40758E-06,0,1.4305E-05,6.11979E-06,0,6.35723E-07,0,3.92923E-06,0,6.61254E-07,0,3.74796E-06,0,0,2.46375E-07,0.00015842,1.47595E-05,1.13103E-06,7.67463E-07,0,3.39052E-06,0,3.50797E-06,0,3.19649E-05,6.30106E-06,8.21334E-06,0,2.41268E-06,4.28922E-07,,,,,,,,,,,,,,,,,,,,,,
25,P_20_22_3(2),0.669,30-May,m,100,2.2,22,,0.617985921,3.819286563,0.549928934,1.272565637,0.782888429,0,100,0.869633412,0.14928084,3.269330983,-0.000604713,6.32022E-06,1.63663E-05,-0.002028714,-9.9485E-06,7.72472E-06,-4.79869E-05,-7.43212E-06,-0.001775125,0.000137328,0.000374142,1.30891E-05,0,0.000484355,1.33232E-05,0.001131203,-7.17853E-06,4.66214E-06,0,-3.74532E-05,0,0,0,-4.64263E-06,6.95225E-05,8.78199E-06,3.98915E-05,0.003758583,0.00014123,8.82491E-06,0.000229986,-3.29666E-06,0.000199204,2.74657E-05,0.00020014,4.96645E-05,1.17041E-07,7.30727E-06,2.75437E-06,3.56195E-05,8.18313E-06,0,0.0003647,9.03753E-06,9.02388E-06,0,1.18017E-05,0,8.85612E-06,0,6.84691E-06,6.08224E-06,0,-8.28066E-06,2.2628E-07,1.7166E-06,0,0,0,9.85097E-07,7.58817E-07,0,2.02091E-05,6.90348E-06,0,1.01436E-06,0,4.16277E-06,0,1.95069E-08,0,3.53659E-06,0,0,4.47117E-07,0.000143141,1.28063E-05,5.18883E-07,3.49173E-07,0,2.46957E-06,0,2.77973E-06,0,1.84145E-05,3.16401E-06,4.77723E-06,0,2.01116E-06,3.60877E-07,,,,,,,,,,,,,,,,,,,,,,
35,P_4_11_10,0.706,30-May,m,100,1,10,,0.640176203,3.88042869,0.537015913,1.460852896,1.477083661,0.33,11.67,0.862431806,0.151377403,2.905998472,-0.000594668,1.33301E-05,1.30109E-05,-0.001696201,-8.18167E-06,-1.12348E-05,-2.79374E-05,-8.64264E-06,-0.003428321,4.80125E-05,0.000191651,4.84914E-06,0,0.000318487,1.15541E-05,0.000706817,-1.77602E-06,-1.07958E-05,0,-3.65182E-05,0,0,0,-2.91347E-06,2.73388E-05,-1.84307E-06,3.71368E-05,0.003844987,4.96887E-05,4.22853E-06,0.000140326,1.62636E-07,0.000120849,1.25319E-05,0.000184587,7.69277E-05,2.41459E-06,9.87987E-06,1.68223E-06,2.19109E-05,4.74737E-06,0,0.000213123,5.16842E-06,5.11853E-06,0,1.22326E-05,0,1.01972E-05,0,7.92225E-06,6.93846E-06,0,-7.94221E-06,3.35249E-07,4.39017E-07,0,0,0,8.82024E-07,8.86015E-07,0,1.25559E-05,4.31434E-06,0,4.76932E-07,0,3.70969E-06,0,3.59195E-08,0,2.26692E-06,0,0,2.63031E-07,0.000105603,1.0269E-05,5.50766E-07,1.08956E-06,0,1.54175E-06,0,1.82591E-06,0,1.3829E-05,2.96735E-06,3.37045E-06,0,2.01549E-06,1.65629E-07,,,,,,,,,,,,,,,,,,,,,,
20,P_2_19_16,0.692,30-May,m,100,3,30,,0.744665374,4.470975987,0.481900943,1.559465034,0.969247663,0.33,72,0.59635092,0.105292591,3.00117309,-0.000583776,1.65173E-05,2.27147E-05,-0.001853696,-9.54515E-05,0.000480578,-9.01948E-05,-2.73904E-06,0.007027446,0.000268648,0.000608953,3.56629E-05,0,0.002210879,7.56972E-05,0.032467353,-0.000192286,0.001632636,1.31004E-05,0.000130035,0,0,0,-1.43869E-06,0.000142098,9.32935E-06,0.000142984,0.004318282,3.81806E-05,1.8335E-05,0.000772908,-3.53862E-06,0.000380755,7.09938E-05,0.000449314,0.000141213,7.05235E-06,1.50149E-05,5.47809E-06,7.77446E-05,3.82083E-05,0,0.00069212,1.24972E-05,1.22842E-05,0,4.55401E-05,0,6.09506E-05,0,3.01571E-05,2.28613E-05,0,-3.18448E-06,1.56042E-06,2.49834E-05,0,0,0,2.99358E-06,5.59152E-06,0,2.31657E-05,9.38468E-06,0,1.89243E-06,0,6.4409E-06,0,1.62406E-06,0,4.61487E-06,0,0,6.94998E-07,0.000242973,2.18404E-05,1.39719E-06,1.21597E-06,0,5.19588E-06,0,5.13225E-06,0,4.0311E-05,6.58754E-06,1.01594E-05,0,1.65449E-06,4.26073E-07,,,,,,,,,,,,,,,,,,,,,,
43,P_9_11_7,0.684,30-May,m,100,1,10,,0.490386523,3.093495662,0.641987598,1.4501065,0.764919115,1.67,73.33,1.243631022,0.293803792,4.325825969,-0.000535886,2.26196E-05,4.44364E-05,-0.001525369,-3.57258E-05,1.87259E-05,-5.74021E-05,-9.68208E-06,0.002508831,0.000124037,0.000302264,1.02962E-05,0,0.000678187,2.89218E-05,0.000772921,-2.40848E-06,3.39194E-06,0,-3.45215E-05,0,0,0,-7.62685E-07,3.38592E-05,2.6132E-06,5.03372E-05,0.008658076,4.17469E-05,8.2109E-06,0.000159401,-2.5008E-06,0.000184911,2.02111E-05,0.000929672,0.000332571,1.74815E-05,6.83406E-06,1.94485E-06,3.51036E-05,9.658E-06,0,0.000500482,8.47784E-06,8.48386E-06,0,7.49037E-05,0,9.26461E-05,0,1.65583E-05,1.1936E-05,0,-5.13809E-06,3.5525E-07,1.2504E-05,0,0,0,9.69412E-07,1.2504E-06,0,7.22945E-06,3.41201E-06,0,1.16008E-06,0,3.31567E-06,0,6.60324E-07,0,3.21933E-06,0,0,2.96042E-07,7.22744E-05,7.02473E-06,7.78741E-07,5.37492E-07,0,2.43256E-06,0,2.02513E-06,0,4.47174E-05,8.10453E-06,1.11974E-05,0,1.74615E-06,3.39194E-07,,,,,,,,,,,,,,,,,,,,,,
