Fam ,Sample Name,Cholor.,Bio,PTR,Date PTR,Sample_Sex,% Exp.,Avg_Male_Buds/Stem,Total_Buds,Avg_Arch,Avg_Area_Week_3,Avg_Perim_Week_3,Avg_Circularity_Week_3,Avg_Perim_Rate,Avg_Area_Rate,Avg_21_days,Avg_Days_til_Gam,Leaf_Length_Average,Leaf_Average_Area,Leaf_perimeter_average,m29.9975_FLUX,m30.99783_Flux,m31.01783_Flux,m31.9908_Flux,m32.99853_Flux,m33.03230 (methanol H+) (Conc)3,m33.98721_Flux,m34.02317 (m34_2) (Conc)3,m37.0289_Flux,m39.0326 (cluster (H2O)H3O+_(18O)) (Conc)3,m41.0375 (propyne H+) (Conc)3,m42.0343 (acetonitrile H+) (Conc)3,m42.95810 (m43_1) (Conc)3,m43.01734 (m43_2) (Conc)3,m44.0626_Flux,m45.0335_Flux,m45.99328_Flux,m46.03111_Flux,m46.06609_Flux,m47.0128_Flux,m47.9847_Flux,m49.0239_Flux,m49.05240_Flux,m49.9923_Flux,m55.0390_Flux,m57.02382_Flux,m57.05991_Flux,m59.0439_Flux,m61.0290_Flux,m62.0294 (acetic acid H+_(13C)) (Conc)3,m63.023 (ethanethiol H+) (Conc)3,m69.00377_Flux,m69.06994FLux,m71.0354_Flux,m73.0376_Flux,m75.0446_Flux,m77.0597_Flux,m79.05478_Flux,m81.0699_Flux,m83.0585_Flux,m85.0648_Flux,m86.0362_Flux,m87.0441_Flux,m89.05810 (butyric acid H+) (Conc)3,m89.09610 (MTBE) (Conc)3,m90.00000_Flux,m91.00000_Flux,m92.00000 (nominal 92) (Conc)3,m93.0699_Flux,m94.2_Flux,m95.00000_Flux,m97.00000_Flux,m98.00000_Flux,m99.080_Flux,m100.00000_Flux,m101.00000 (nominal 101) (Conc)3,m103.1117_Flux,m104_Flux,m105.0699_Flux,m106.00000_Flux,m107.0855_Flux,m108.00000_Flux,m109.00000 (nominal 109) (Conc)3,m110.00000_Flux,m111.00000 (nominal 111) (Conc)3,m113.00000_Flux,m114.00000_Flux,m115.00000 (nominal 115) (Conc)3,m119.00000 (nominal 119) (Conc)3,m121.1012 ((C9H12)H+) (Conc)3,m124.00000 (nominal 124) (Conc)3,m125.00000 (nominal 125) (Conc)3,m126.000002,m127.00000 (nominal 127) (Conc)3,m128.00000 (nominal 128) (Conc)3,m129.00000 (nominal 129) (Conc)3,m130.00000 (nominal 130) (Conc)3,m135.1168 ((C10H14)H+) (Conc)3,m137.1325 (terpenes H+) (Conc)3,m138.00000 (nominal 138) (Conc)3,m139.1481 (menthol dehydrated) (Conc)3,m141.00000 (nominal 141) (Conc)3,m143.00000 (nominal 143) (Conc)3,m148.00000 (nominal 148) (Conc)3,m149.00000 (nominal 149) (Conc)3,m150.00000 (nominal 150) (Conc)3,m151.00000 (nominal 151) (Conc)3,m153.2_Flex,m163.00000 (nominal 163) (Conc)3,m204.00000 (nominal 204) (Conc)23
4,P_11_11_22,0.732,26.5,2230-2300,23-May,f,60,,,38.33,,,,,,,,1.636339474,0.424713035,5.458416363,-3.79E-05,-2.63E-07,1.97E-07,6.39E-05,1.97E-06,-7.80E-07,-4.51E-07,3.05E-08,3.34E-05,2.90E-06,1.26E-05,3.61E-07,-6.45E-08,1.04E-08,-7.06E-07,8.16E-05,-2.49E-06,1.33E-06,-1.96E-10,-2.68E-06,0,0,0,-3.55E-07,6.57E-07,1.82E-06,2.32E-06,9.62E-06,-1.65E-06,-4.46E-08,3.74E-08,-1.27E-07,2.50E-05,3.75E-07,2.89E-06,1.16E-06,1.33E-07,1.41E-08,5.79E-08,4.10E-07,3.59E-07,0,0.000222687,7.71E-07,5.97E-07,0,-6.15E-07,0,5.21E-07,0,4.10E-07,1.83E-07,0,360966.9474,-3.28E-07,-6.02E-07,-2.24E-07,0,0,0,0,-3.18E-08,0,0,0,-2.93E-07,0,-1.54E-07,0,-8.10E-08,-8.94E-08,0,0,0,0,-5.80E-08,0,0,0,0,0,0,0,0,1.95E-07,0,0,3.01E-07,0,2.09E-07
4,P_11_11_22,0.75,24,2110-2170,29-May,f,100,,,9.33,,,,,,,,1.855177898,0.446731686,5.537076113,-7.85E-06,-2.69E-07,-3.61E-07,-2.73E-07,6.75E-08,-5.86E-07,-9.30E-07,-6.96E-09,-8.27E-05,-3.96E-07,1.50E-06,-1.22E-07,0,-1.08E-07,-5.40E-07,3.15E-07,-4.86E-07,-1.10E-06,0,-9.21E-07,-1.14E-08,0,0,-9.54E-08,1.81E-06,-3.53E-07,3.65E-07,-8.02E-05,-1.24E-06,4.46E-09,5.98E-07,-4.74E-08,2.24E-06,1.14E-07,1.50E-05,1.06E-05,6.95E-07,2.58E-08,-1.40E-07,6.85E-07,2.61E-09,0,8.18E-07,7.76E-08,6.91E-08,0,3.32E-06,0,2.80E-06,0,5.08E-07,1.44E-07,0,-889833.3517,-7.86E-08,-3.30E-07,0,0,1.90E-08,1.32E-07,-9.43E-08,3.21E-08,0,0,1.54E-08,-2.84E-08,0,4.33E-08,0,-1.17E-07,2.93E-08,0,0,0,0,6.00E-08,0,5.37E-08,6.51E-08,0,0,0,0,0,5.03E-06,6.87E-07,1.24E-06,0,1.52E-07,7.96E-08
12,P_15_6_3,0.643,52,3580-3640,30-May,m,100,1,10,,0.998163025,9.212125289,0.166824037,1.425577902,1.046378883,0.33,69,1.632555909,0.491051113,5.518860484,-6.37E-05,-1.69E-07,-7.94E-08,-4.16E-05,-2.17E-07,-1.50E-06,-1.06E-06,-8.82E-08,-2.87E-05,1.73E-06,5.74E-06,1.67E-07,0,5.73E-08,-2.44E-07,3.80E-05,-2.20E-06,-2.35E-08,0,-2.38E-06,-5.51E-08,-1.94E-08,-2.07E-08,-1.20E-07,3.21E-06,-1.19E-07,1.91E-06,9.13E-05,-2.27E-06,2.58E-07,3.91E-06,-8.33E-08,6.82E-06,7.41E-07,6.08E-06,5.07E-07,-3.01E-08,3.54E-09,3.92E-08,8.72E-07,1.77E-07,0,1.24E-05,2.81E-07,2.83E-07,0,1.85E-07,0,8.35E-08,0,5.27E-08,1.32E-07,0,-415368.13,-2.17E-08,-2.88E-07,0,0,-2.38E-08,-1.34E-07,-1.02E-07,-5.39E-08,0,0,0,-8.94E-08,-1.41E-08,1.18E-07,0,-1.04E-07,-2.30E-08,1.38E-07,0,0,0,1.95E-05,1.77E-06,1.42E-08,-7.98E-09,0,0,0,1.26E-07,0,1.93E-07,0,0,0,1.00E-07,0
12,P_15_6_3,0.707,74.6,3550-3630,24-May,m,100,1,10,,0.998163025,9.212125289,0.166824037,1.425577902,1.046378883,0.33,69,1.290803945,0.344022516,5.705357007,-3.00E-05,-1.48E-07,-5.20E-08,0,0,-3.40E-08,-7.20E-07,-7.65E-08,7.87E-05,1.17E-06,1.77E-06,-4.48E-08,-8.93E-08,5.52E-08,-2.48E-07,2.85E-06,-1.31E-06,-1.01E-07,0,-1.97E-06,0,0,0,-1.12E-07,2.93E-07,-4.58E-08,4.59E-07,5.78E-05,-8.05E-07,9.47E-09,1.98E-07,8.69E-08,1.44E-06,1.58E-07,3.62E-06,6.59E-07,6.93E-08,0,7.99E-08,7.84E-07,1.29E-07,0,7.21E-06,6.06E-08,6.13E-08,0,1.35E-07,0,2.73E-07,0,5.19E-08,4.27E-08,-1.64E-08,-64425.10981,-5.26E-09,0,0,0,0,-1.34E-07,-1.12E-09,-5.52E-08,0,2.78E-08,-9.74E-10,-1.27E-07,0,-1.16E-08,0,-3.71E-08,3.16E-08,0,0,7.10E-09,0,7.36E-07,6.27E-08,0,0,0,0,0,0,0,6.35E-08,0,0,0,0,2.04E-08
12,P_15_6_4,0.614,11.3,2130-2190,30-May,m,90,1,10,,0.751055222,4.470639672,0.480673371,1.481101321,1.140992887,7.67,16.33,2.007355313,0.556328509,6.531755538,0.004125851,0.00056771,0.003428106,0.041684296,-0.003200913,0.030182767,-0.001586902,0.000260453,-0.00134025,0.017122807,0.047404613,0.00335701,0,0.005788374,0.009895934,1.333481389,-0.005784876,0.246363511,0.007884888,0.022861181,0,0,0,-0.000106758,0.006538136,0.004078384,0.008646234,0.276836783,0.005113663,0.001374932,0.080723495,-6.24E-06,0.05368925,0.013513724,0.039680035,0.010312114,0.000597436,0.000860126,0.000979323,0.008157532,0.007069141,0,0.138948012,0.001330632,0.001318301,0,0.002900118,0,0.003109251,0,0.001243016,0.002938611,0,736957916.8,0.000184412,0.00166881,0,0,0,0.000144066,0.000616466,0,0.003132506,0.000941207,0,0.000201637,0,0.000617699,0,7.30E-05,0,0.000529121,0,0,7.70E-05,0.021718389,0.001988699,0.000136444,0.000165531,0,0.000623773,0,0.000256463,0,0.004454625,0.000804608,0.001302514,0,0.000364604,8.93E-05
12,P_15_6_4,0.726,42.9,2760-2830,25-May,m,100,1,10,,0.751055222,4.470639672,0.480673371,1.481101321,1.140992887,7.67,16.33,2.544988608,0.839625611,7.84715463,-5.33E-05,-3.26E-07,-2.59E-07,-3.78E-05,1.12E-07,-3.61E-07,-7.68E-07,-9.76E-08,-8.37E-05,-2.49E-07,1.44E-06,-2.16E-07,0,-5.81E-08,-5.83E-07,2.83E-06,-1.80E-06,-8.18E-07,0,-2.45E-06,-5.69E-08,0,0,0,-7.40E-07,-1.56E-07,1.77E-07,-7.06E-07,-2.40E-06,2.59E-08,1.44E-07,-7.34E-08,1.83E-06,-9.50E-08,3.06E-07,2.07E-06,1.50E-07,-2.50E-08,0,8.78E-07,1.58E-08,0,6.17E-06,3.64E-08,3.77E-08,0,5.01E-07,0,6.27E-07,0,7.73E-08,3.20E-08,-5.03E-08,-361312.8881,-4.78E-08,-5.31E-07,0,0,0,-2.50E-07,1.46E-08,-7.14E-08,0,-1.19E-08,-4.34E-08,-1.91E-07,0,-5.76E-08,0,-5.72E-08,-1.26E-07,0,0,0,0,6.05E-07,5.78E-08,0,0,0,0,0,0,0,6.54E-07,1.22E-07,0,0,0,7.92E-08
12,P_15_6_6,0.701,55.7,1070-1140,27-May,f,70,,,19.33333333,0.910894924,5.084527253,0.452545313,1.661711621,0.656699276,10,17.33,1.527517273,0.392866119,5.475815616,-8.61E-06,2.27E-07,3.42E-07,-2.28E-05,-6.35E-07,1.33E-06,-9.36E-07,-4.18E-08,3.14E-05,2.01E-06,6.07E-06,3.57E-07,0,2.66E-07,3.79E-07,7.62E-05,-7.67E-07,2.22E-06,0,9.86E-07,1.21E-07,0,0,-1.55E-07,-5.80E-07,-1.84E-07,1.56E-07,2.72E-05,0,0,0,-2.73E-08,6.59E-07,-2.75E-07,5.36E-07,6.51E-07,2.83E-09,-4.03E-08,-1.38E-08,1.19E-06,-2.20E-08,-3.55E-08,2.57E-06,-1.09E-07,-1.09E-07,0,1.35E-07,0,2.08E-07,0,-2.43E-07,-6.15E-08,-4.43E-08,-424880.6549,-5.38E-08,-6.33E-07,0,0,-2.74E-08,-2.32E-07,-8.36E-08,-6.27E-08,-1.23E-07,0,-3.90E-08,-1.57E-07,0,-7.71E-08,0,-7.97E-08,-9.26E-08,0,0,-6.02E-08,0,-3.20E-08,0,2.38E-09,0,0,-6.88E-09,-2.60E-08,-4.25E-08,9.18E-10,2.83E-07,2.14E-08,4.60E-08,0,2.51E-09,7.69E-08
12,P_15_6_6,0.704,34.7,1280-1350,25-May,f,100,,,20,0.910894924,5.084527253,0.452545313,1.661711621,0.656699276,10,17.33,1.948051139,0.643648292,6.096799666,-6.97E-06,7.04E-08,-2.90E-07,-3.28E-05,-7.14E-07,-2.78E-07,-2.03E-06,-1.42E-08,0.000138748,1.46E-06,5.04E-07,-1.05E-07,0,-3.50E-09,-5.47E-07,5.13E-06,-3.97E-07,-2.35E-07,0,-9.74E-07,-2.87E-08,0,0,1.57E-08,1.75E-07,7.91E-08,3.73E-07,2.93E-06,-7.46E-07,2.06E-08,2.53E-07,-8.35E-08,2.53E-06,6.89E-08,1.37E-06,1.37E-06,1.48E-07,1.17E-08,-1.27E-08,3.18E-07,1.20E-07,0,1.92E-05,1.33E-07,1.34E-07,0,5.14E-07,4.93E-08,6.63E-07,6.46E-08,2.80E-07,1.11E-07,0,9823.283536,1.59E-08,1.65E-07,1.38E-08,1.69E-08,0,1.18E-07,-2.14E-08,-6.50E-09,0,0,5.45E-08,1.49E-08,0,0,2.77E-08,1.34E-08,1.04E-07,0,0,7.99E-08,0,7.31E-07,5.32E-08,0,5.96E-08,0,7.75E-08,0,6.40E-08,0,6.33E-07,9.60E-08,0,0,4.33E-08,8.50E-08
24,P_20_16_11,0.71,35.5,1900-1975,23-May,f,80,,,6,,,,,,,,2.112066405,0.498044563,6.370408164,-6.38E-05,1.43E-06,2.71E-05,-0.000310889,-3.16E-06,2.58E-05,-1.09E-05,-4.87E-07,0.000191123,3.46E-06,6.95E-06,3.25E-06,-9.63E-08,2.43E-07,-8.18E-07,0.000494218,-4.64E-06,2.09E-05,1.36E-06,0.000801763,5.23E-05,5.48E-06,0,-7.92E-07,1.18E-06,2.99E-07,1.36E-06,6.43E-05,-7.59E-07,-4.39E-09,7.13E-07,-1.30E-07,1.47E-05,6.33E-07,7.18E-06,5.83E-06,9.82E-08,0,1.47E-07,7.33E-07,0,0,0.000131794,7.66E-07,0,0,0,0,5.13E-06,0,1.10E-07,0,0,-121970.6896,9.10E-09,-8.96E-08,0,0,0,-9.45E-07,0,-1.32E-07,0,0,0,-2.69E-07,0,-3.32E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,P_20_16_11(2),0.726,34.9,3780-3870,23-May,f,100,,,14,,,,,,,,1.296797399,0.340022578,5.067970864,-3.03E-05,-8.90E-08,1.91E-07,4.86E-05,1.30E-06,-6.08E-07,-7.57E-07,5.50E-08,4.14E-05,2.02E-06,8.63E-06,1.64E-07,-4.90E-08,5.58E-08,-4.25E-07,4.39E-05,-1.80E-06,5.96E-07,-1.48E-10,-2.11E-06,0,0,0,-2.63E-07,1.09E-06,8.76E-07,1.57E-06,5.30E-05,-1.18E-06,6.83E-08,1.12E-07,-9.66E-08,1.81E-05,4.66E-07,1.22E-05,2.44E-06,1.57E-07,4.28E-08,4.93E-07,5.44E-07,2.99E-07,0,0.000125735,5.05E-07,3.70E-07,0,-4.96E-07,0,1.08E-06,0,8.99E-07,3.27E-07,0,360010.8707,3.21E-08,-3.57E-07,-2.13E-07,0,0,0,0,-5.07E-08,0,0,0,-1.84E-07,0,1.07E-08,0,-2.35E-08,-7.41E-08,0,0,0,0,2.50E-05,0,0,0,0,0,0,0,0,4.45E-07,0,0,2.93E-07,0,1.50E-07
