Sample.Name,Sample_Sex,Fam,m30.99783_FLUX,m31.01783_FLUX,m31.9908_FLUX2,m32.99853_FLUX,m33.03230_FLUX,m34.02317_FLUX,m37.0289_FLUX,m39.0326..cluster..H2O.H3O._.18O....Conc.,m41.0375_FLUX,m42.0343..acetonitrile.H....Conc.,m43.01734_FLUX,m44.0626_FLUX,m45.0335_FLUX,m46.03111_FLUX,m46.06609_FLUX,m47.0128_FLUX,m47.9847_FLUX,m49.0239_FLUX,m49.05240_FLUX,m49.9923..chloromethane...Conc.,m55.0390..cluster..H2O.2.H3O....Conc.,m57.02382_FLUX,m57.05991..cluster..H2O.2.H3O._.18O....Conc.,m59.0439_FLUX,m61.0290_FLUX,m62.0294_FLUX,m63.023_FLUX,m69.00377_FLUX,m69.06994_FLUX,m71.0354_FLUX,m73.0376..butyraldehyde.H....Conc.,m75.0446_FLUX,m77.0597_FLUX,m77.0597..propylene.glycol.H....Conc.2,m79.05478..benzene.H....Conc.2,m81.0699_FLUX,m83.0585_FLUX,m85.0648_FLUX,m86.0362_FLUX,m87.0441_FLUX,m89.05810..butyric.acid.H....Conc.,m89.09610_FLUX,m91.00000_FLUX,m93.0699_FLUX,m95.00000.FLUX,m97.00000_FLUX,m99.080..cyclohexanone.H....Conc.,m100.00000_FLUX,m101.00000_flux,m103.1117_FLUX,m105_FLUK,m106.00000_FLUX,m107.0855_FLUX,m108.0000_FLUX,m109.00000..nomi 0l.109...Conc.,m111.00000_FLUX,m113.00000_FLUX,m115.00000_FLUX,m119.00000_FLUX,m121.1012_FLUX,m124.00000_FLUX,m125.00000_FLUX,m127.00000_FLUX,m128.00000_FLUX,m129.00000_FLUX,m130.00000_FLUX,m135.1168_FLUX,m137.1325..terpenes.H....Conc.,m139.1481..menthol.dehydrated...Conc.,m141.00000_FLUX,m143.00000_FLUX,m149.00000_FLUX,m150.00000_FLUX,m151.00000_FLUX,m163.00000_FLUX,m204.00000_FLUX
P_1_2_1 ,m,1,0,0,0,0,1.19E-07,0,0,0,5.55E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,7.31E-09,9.00E-08,0,0,0,0,2.74E-08,0,0,5.37E-11,0,0,0,0,9.93E-09,0,0,0,0,0,4.92E-09,2.94E-09,0,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,2.51E-10,0,0,0,0,3.96E-09,3.98E-10,9.09E-10,0,1.83E-10
P_1_2_1 ,m,1,0,0,0,0,0,0,0,2.25E-08,1.54E-07,0,4.91E-08,0,5.50E-07,0,0,0,0,0,0,0,6.91E-08,0,2.80E-08,2.67E-06,0,3.85E-09,2.08E-08,0,1.32E-07,6.78E-09,2.61E-07,1.44E-07,7.57E-09,0.4131,0.1166,0,4.30E-08,5.39E-09,0,5.92E-07,2.86E-09,2.89E-09,5.08E-08,4.13E-08,3.94E-09,1.18E-08,0,0,0,0,0,0,8.69E-09,0,0,2.14E-10,0,0,0,0,0,0,0,0,1.79E-08,1.33E-09,0,0,0,0,0,2.80E-08,3.27E-09,0,0,7.53E-10
P_1_2_10,f,1,0,2.10E-08,8.25E-08,1.20E-08,0,0,0,8.74E-08,2.76E-07,1.40E-08,1.88E-07,2.97E-09,1.12E-06,1.83E-08,0,0,2.24E-09,0,0,7.92E-10,1.47E-07,4.47E-09,3.01E-08,2.65E-06,0,4.18E-09,6.50E-08,0,2.35E-07,1.34E-08,7.89E-07,3.82E-07,2.26E-08,1.372,0.1482,7.19E-10,1.94E-08,4.06E-09,0,1.15E-06,4.69E-09,4.73E-09,1.17E-07,9.09E-08,1.19E-08,9.34E-09,0,1.53E-10,4.07E-09,0,3.41E-10,2.38E-09,2.92E-09,0,0,4.55E-10,3.79E-10,1.65E-11,0,0,1.70E-10,0,0,0,3.37E-09,0,5.34E-10,1.01E-09,0,0,0,4.94E-08,6.79E-09,9.37E-09,7.09E-10,5.61E-10
P_1_2_11,m,1,3.38E-08,5.25E-08,0,0,0,0,6.56E-06,9.16E-08,1.18E-07,1.01E-08,8.25E-07,3.44E-08,5.03E-07,3.04E-08,0,0,0,0,0,0,3.24E-08,1.33E-09,3.99E-08,1.06E-05,6.98E-08,3.13E-09,4.99E-08,1.85E-09,1.01E-07,1.05E-08,4.69E-07,2.44E-07,2.49E-08,1.051106762,0.200349466,8.80E-09,2.82E-08,1.05E-08,0,3.56E-07,5.04E-09,5.18E-09,4.80E-08,5.34E-08,2.32E-08,6.13E-09,0,0,9.96E-09,1.76E-09,0,8.08E-09,1.65E-09,1.18E-09,0,2.62E-09,9.24E-10,0,4.72E-10,2.94E-09,2.46E-09,0,2.58E-09,0,3.03E-08,3.77E-09,0,2.57E-09,1.67E-09,0,1.50E-09,4.45E-08,7.54E-09,0,1.92E-09,1.73E-09
P_1_2_11,m,1,6.14E-09,0,0,0,3.93E-08,0,2.81E-06,1.75E-07,4.92E-07,1.74E-08,0,0,2.64E-06,2.77E-08,0,0,2.11E-09,0,0,0,1.41E-07,1.83E-08,6.55E-08,1.76E-06,5.40E-08,7.54E-09,6.64E-08,0,5.67E-07,2.62E-08,1.37E-07,0,0,0,0.3624,1.65E-09,3.93E-08,1.30E-08,0,2.91E-06,1.76E-08,1.76E-08,9.29E-09,0,4.41E-09,1.54E-08,0,1.28E-09,2.70E-09,0,5.73E-10,1.68E-09,0,0,6.57E-09,5.32E-09,3.03E-10,4.61E-09,4.35E-10,2.69E-10,1.22E-09,2.89E-09,0,3.16E-07,0,2.84E-08,9.55E-10,1.78E-09,3.09E-09,9.74E-10,2.73E-09,8.37E-09,1.68E-09,2.39E-09,2.43E-09,9.57E-10
P_1_2_2,f,1,0,0,0,0,0,0,1.53E-06,6.11E-08,1.62E-07,0,0,0,3.81E-08,0,0,0,0,7.45E-10,0,0,0,0,8.88E-07,0,0,0,1.45E-08,0,1.56E-07,0,3.23E-07,3.61E-07,2.26E-08,1.293333333,0.1029,1.43E-09,2.02E-08,0,6.73E-10,3.12E-08,1.02E-09,8.81E-10,5.61E-08,7.09E-08,9.80E-09,5.56E-09,0,0,0,0,6.28E-10,0,0,0,0,3.62E-10,0,1.80E-09,0,6.41E-12,2.54E-10,0,0,0,0,0,4.32E-10,6.96E-10,2.78E-10,1.37E-10,0,7.19E-08,1.07E-08,1.38E-08,1.45E-09,2.37E-09
P_1_5_1,f,2,0,1.77E-06,1.03E-06,0,2.90E-06,3.26E-10,3.53E-06,1.81E-07,6.69E-07,9.61E-08,6.33E-07,4.05E-09,1.82E-05,6.18E-07,1.04E-08,1.72E-05,4.42E-07,7.31E-08,7.24E-08,3.88E-08,5.19E-08,2.14E-08,7.70E-08,6.48E-06,0,2.82E-10,3.86E-08,0,7.40E-07,2.83E-08,4.64E-07,1.41E-07,1.11E-08,0.71173026,0.20402388,7.61E-09,3.28E-08,7.95E-09,8.21E-09,3.32E-06,1.47E-08,1.08E-08,4.97E-08,4.50E-08,1.05E-08,1.57E-08,0,0,0,0,0,0,8.27E-09,0,0,0,0,0,0,1.19E-09,0,0,0,0,6.21E-08,0,0,0,0,0,0,1.34E-08,0,0,0,1.39E-09
P_1_5_1,f,2,3.39E-08,1.24E-07,1.97E-07,0,3.47E-07,4.31E-09,1.82E-06,3.70E-07,1.20E-06,6.22E-08,2.03E-06,9.97E-08,2.02E-05,7.12E-07,0,2.80E-07,0,0,0,0,1.24E-07,5.83E-08,1.32E-07,1.26E-05,9.02E-08,1.61E-08,2.84E-07,0,1.16E-06,1.06E-07,9.45E-07,2.92E-07,1.67E-08,1.0199,0.4426,1.46E-08,8.01E-08,6.04E-08,0,1.99E-06,2.63E-08,2.64E-08,1.30E-07,8.89E-08,2.44E-08,3.23E-08,7.53E-09,1.84E-09,2.64E-08,1.94E-09,3.24E-10,1.65E-09,2.05E-09,6.01E-10,1.60E-08,6.89E-09,2.57E-09,6.20E-09,0,1.24E-09,1.57E-09,0,1.20E-08,0,9.47E-08,8.94E-09,1.60E-09,0,5.64E-09,0,2.38E-09,3.50E-08,0,0,1.26E-09,5.01E-10
P_1_5_11,m,2,0,0,0,0,0,0,0,2.72E-07,6.76E-07,2.42E-08,3.58E-07,0,5.67E-06,1.12E-07,0,0,9.08E-09,0,0,0,1.81E-07,0,1.04E-07,5.71E-06,0,1.22E-08,9.79E-07,0,3.71E-07,4.96E-08,1.34E-07,3.05E-08,1.02E-09,0.0604,0.0375,0,5.25E-08,4.77E-09,0,6.84E-07,1.12E-08,1.12E-08,4.72E-09,4.21E-09,3.61E-09,5.34E-10,0,0,0,0,0,0,0,0,0,0,0,3.27E-09,0,0,0,1.97E-09,0,0,5.67E-07,5.07E-08,5.24E-10,7.58E-11,0,0,1.71E-09,9.59E-09,0,0,2.08E-09,0
P_1_5_11,m,2,0,0,0,0,0,0,0,2.36E-08,2.30E-07,0,0,0,9.40E-07,0,0,0,0,0,0,0,0,1.89E-09,2.89E-08,1.71E-06,0,5.88E-10,6.66E-09,0,2.27E-07,6.39E-09,0,1.56E-09,9.81E-10,0.0712,0,0,3.16E-08,3.19E-09,0,1.20E-06,5.19E-09,5.24E-09,0,0,3.49E-10,9.77E-10,0,0,0,0,0,0,0,0,0,8.20E-10,0,0,0,0,0,0,0,0,1.06E-07,1.00E-08,0,0,0,0,0,2.30E-09,4.29E-10,0,0,8.56E-10
P_1_5_12,f,2,4.22E-08,2.48E-07,4.05E-06,0,2.99E-07,2.25E-10,0,8.92E-07,2.68E-06,2.33E-07,0,6.78E-07,9.09E-05,1.43E-05,6.00E-07,1.38E-06,1.71E-07,3.00E-08,2.90E-08,0,4.25E-07,2.89E-07,4.82E-07,1.11E-05,4.42E-07,1.50E-07,9.29E-06,0,2.03E-06,4.63E-07,7.98E-07,1.36E-07,3.92E-09,0.157,1.473,5.89E-08,2.29E-07,3.13E-07,0,4.38E-06,4.03E-08,4.03E-08,6.77E-08,3.54E-08,4.08E-08,4.40E-07,5.70E-09,4.91E-09,2.62E-08,0,3.12E-09,2.75E-09,3.65E-09,0,3.13E-08,1.29E-08,6.80E-09,1.14E-08,2.97E-09,1.29E-09,1.43E-09,6.11E-09,0,4.39E-07,0,3.86E-08,3.33E-09,3.80E-09,8.37E-09,2.37E-09,5.47E-09,6.52E-08,1.04E-08,1.28E-08,6.63E-09,1.28E-09
P_1_5_2,f,2,0,0,0,0,0,0,6.76E-06,7.28E-08,6.50E-08,0,2.42E-08,0,2.97E-07,0,0,0,4.18E-10,0,0,0,2.35E-08,3.36E-09,2.47E-08,4.21E-07,0,2.82E-10,1.19E-08,0,9.68E-08,6.28E-09,1.03E-07,5.16E-08,4.41E-09,0.338906762,0.121049466,1.96E-09,1.65E-08,2.98E-09,0,4.80E-07,3.26E-09,3.39E-09,1.68E-08,1.61E-08,6.70E-09,6.43E-09,0,2.78E-10,5.48E-09,7.93E-10,0,2.73E-09,4.78E-10,4.99E-10,0,2.07E-09,0,0,0,1.14E-09,1.95E-09,0,2.57E-09,0,2.45E-08,2.33E-09,0,8.63E-10,1.71E-09,0,7.09E-10,2.02E-08,3.48E-09,0,9.29E-10,0
